rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000057,CON-0001,River City Communications,,,BFO.12.I,Install a buried fiber optic cable containing 12 fibers in conduit.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000058,CON-0001,River City Communications,,,BFO.48.I,Install a buried fiber optic cable containing 48 fibers in conduit.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000059,CON-0001,River City Communications,,,BFO.72.I,Install a buried fiber optic cable containing 72 fibers in conduit.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000060,CON-0001,River City Communications,,,BFO.144.I,Install a buried fiber optic cable containing 144 fibers in conduit.,FT,1.65,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000061,CON-0001,River City Communications,,,BFO.288.I,Install a buried fiber optic cable containing 288 fibers in conduit.,FT,1.65,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000062,CON-0001,River City Communications,,,BFO.HST.150,HST 150 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,300,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000063,CON-0001,River City Communications,,,BFO.HST.250,HST 250 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,375,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000064,CON-0001,River City Communications,,,BFO.HST.350,HST 350 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,490,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000065,CON-0001,River City Communications,,,BFO.HST.500,HST 500 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,625,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000066,CON-0001,River City Communications,,,BFO.HST.750,HST 750 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,937.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000067,CON-0001,River City Communications,,,BFO.HST.1000,HST 1000 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,1250,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000068,CON-0001,River City Communications,,,BFO.HST.1250,HST 1250 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,1562.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000069,CON-0001,River City Communications,,,BFO.HST.1500,HST 1500 FT-Pricing is lump sum and includes mountin the head in pedestal,EA,1875,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000070,CON-0001,River City Communications,,,BFO.12.IE,Install a buried fiber optic cable containing 12 fibers installed in an existing duct placed by others.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000071,CON-0001,River City Communications,,,BFO.48.IE,Install a buried fiber optic cable containing 48 fibers installed in an existing duct placed by others.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000072,CON-0001,River City Communications,,,BFO.72.IE,Install a buried fiber optic cable containing 72 fibers installed in an existing duct placed by others.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000073,CON-0001,River City Communications,,,BFO.144.IE,Install a buried fiber optic cable containing 144 fibers installed in an existing duct placed by others.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000074,CON-0001,River City Communications,,,BFO.288.IE,Install a buried fiber optic cable containing 288 fibers installed in an existing duct placed by others.,FT,1.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000075,CON-0001,River City Communications,,,BFO.RTD.IE,Install buried MST/RTD Fiber in an exiting duct placed by others. Pricing is actual tail footage installed from recorded tic marks and includes mounting MST/RTD.,FT,2,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
